surface_id,filename,surface_name,role_root,primary_object,secondary_object,screen_type,turn_led,can_exist_without_projects,can_exist_without_turns,produces_work_artifact,displays_attention_artifact,decision_or_gate,consequence_tier,notes
F-A1,F-A1_mobile_owner_home.html,Mobile Owner Home,Owner,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-A2,F-A2_desktop_owner_home.html,Desktop Owner Home,Owner,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-AD1,F-AD1_mobile_admin_landing.html,Mobile Admin Landing,Admin/Ops,BusinessGraphNode,WorkArtifact,business_graph_projection,No,No,Yes,Maybe,No,No,read_or_draft,Conventional business graph surface; should remain reachable through Right Hand turns and attention cards.
F-AD2,F-AD2_desktop_admin_landing.html,Desktop Admin Landing,Admin/Ops,BusinessGraphNode,WorkArtifact,business_graph_projection,No,No,Yes,Maybe,No,No,read_or_draft,Conventional business graph surface; should remain reachable through Right Hand turns and attention cards.
F-AO1,F-AO1_mobile_admin_ops_home.html,Mobile Admin Ops Home,Admin/Ops,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-AO2,F-AO2_desktop_admin_ops_home.html,Desktop Admin Ops Home,Admin/Ops,AttentionArtifact,RoleView,role_home_attention_projection,Partial,Yes,Partial,No,Yes,Maybe,attention,"Role-root home; should render One Thing, queue, and pulse from attention artifacts, not static dashboard modules."
F-AV1a,F-AV1a_mobile_audit_portfolio.html,Mobile Audit Portfolio,Owner/Admin/Auditor,AttentionArtifact,SourceEvidence,audit_portfolio,Partial,Yes,Partial,No,Yes,Maybe,audit_attention,Trust comparison surface; escalated audit items are attention artifacts over proof trails.
F-AV1b,F-AV1b_desktop_audit_portfolio.html,Desktop Audit Portfolio,Owner/Admin/Auditor,AttentionArtifact,SourceEvidence,audit_portfolio,Partial,Yes,Partial,No,Yes,Maybe,audit_attention,Trust comparison surface; escalated audit items are attention artifacts over proof trails.
F-B1,F-B1_mobile_decision_card.html,Mobile Decision Card,Owner/PM,Decision,ResolutionPacket,decision_gate,Yes,Yes,No,No,Yes,Yes,operator_confirmation,Decision card is a Right Hand primitive: generated output plus evidence plus explicit human approval/edit/decline.
F-B1b,F-B1b_mobile_decision_card_edit.html,Mobile Decision Card Edit,Owner/PM,Decision,ResolutionPacket,decision_gate,Yes,Yes,No,No,Yes,Yes,operator_confirmation,Decision card is a Right Hand primitive: generated output plus evidence plus explicit human approval/edit/decline.
